Date,Open,High,Low,Close,Adj Close,Volume
2000-08-04,34.847267,35.289391,34.163986,34.686497,23.189430,39808
2000-08-07,null,null,null,null,null,null
2000-08-08,35.490353,35.490353,34.364952,34.445339,23.028206,146543
2000-08-09,34.766880,34.967846,34.123795,34.766880,23.243164,250915
2000-08-10,35.369774,35.369774,34.003216,34.163986,22.840105,85463
2000-08-11,34.565914,34.565914,34.244373,34.364952,22.974455,96286
2000-08-14,34.163986,34.525723,34.163986,34.284565,22.920717,107730
2000-08-15,34.284565,34.967846,34.284565,34.606110,23.135677,320330
2000-08-16,35.128616,35.128616,34.204182,34.927654,23.350649,87080
2000-08-17,34.927654,35.168812,34.204182,34.766880,23.243164,135845
2000-08-18,34.766880,34.766880,34.405144,34.565914,23.108803,65186
2000-08-21,34.485531,34.766880,34.485531,34.766880,23.243164,37942
2000-08-22,35.168812,35.168812,34.646301,34.967846,23.377527,140448
2000-08-23,34.565914,35.168812,34.083603,35.168812,23.511873,128754
2000-08-24,35.168812,35.972668,34.967846,35.972668,24.049282,112955
2000-08-25,35.972668,35.972668,35.570740,35.570740,23.780571,48765
2000-08-28,35.369774,35.610931,34.364952,35.168812,23.511873,211978
2000-08-29,35.168812,35.168812,33.963024,33.963024,22.705759,94171
2000-08-30,34.967846,35.048233,33.842445,34.244373,22.893845,82228
2000-08-31,34.565914,34.766880,34.123795,34.123795,22.813227,390367
2000-09-01,34.726688,34.887459,34.244373,34.887459,23.323771,58717
2000-09-04,null,null,null,null,null,null
2000-09-05,34.967846,34.967846,34.163986,34.525723,23.081938,91807
2000-09-06,34.686497,34.686497,34.163986,34.445339,23.028206,145424
2000-09-07,34.405144,34.405144,34.123795,34.163986,22.840105,267460
2000-09-08,34.364952,34.485531,33.561092,33.842445,22.625130,274800
2000-09-11,33.762058,34.163986,33.721867,34.163986,22.840105,88946
2000-09-12,34.364952,34.485531,33.963024,34.405144,23.001329,92305
2000-09-13,34.405144,34.726688,34.163986,34.646301,23.216808,171548
2000-09-14,34.646301,34.646301,34.284565,34.646301,23.216808,79243
2000-09-15,34.887459,34.887459,34.364952,34.405144,23.055206,155127
